Flag,Type,UK1,Who Equips,Element,UK2,Elemental Resistance,Elemental Null,Status Resist,UK3,AT,Special 1,Special 2,Special Amount,Icon,SPD,AT,MAT,DF,MDF,A-Hit,M-Hit,A-AV,M-AV,Status Chance,UK4,UK5,On Hit Status,Name
0,8,32,247,0,0,0,0,8,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Bravery Amulet
0,8,32,247,0,0,0,0,2,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Magic Ego Bell
0,8,32,247,0,0,0,0,1,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Destone Amulet
0,8,32,247,0,0,0,0,0,0,0,0,0,0,23,0,10,0,0,0,0,0,0,0,0,0,0,0,Power Wrist
0,8,32,247,0,0,0,0,0,0,0,0,0,0,23,0,0,0,10,0,0,0,0,0,0,0,0,0,Knight Shield
0,8,32,247,0,0,0,0,0,0,0,0,0,0,23,0,0,30,0,0,0,0,0,0,0,0,0,0,Magical Ring
0,8,32,247,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,30,0,0,0,0,0,0,0,0,Spiritual Ring
0,8,32,247,0,0,0,0,0,0,0,0,0,0,23,0,20,20,0,0,0,0,0,0,0,0,0,0,Attack Badge
0,8,32,247,0,0,0,0,0,0,0,0,0,0,23,0,0,0,20,20,0,0,0,0,0,0,0,0,Guard Badge
0,8,32,247,0,0,0,0,0,0,0,0,0,0,23,0,20,0,20,0,0,0,0,0,0,0,0,0,Giganto Ring
0,8,32,247,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,20,0,0,0,0,0,Elude Cloak
0,8,32,247,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,20,0,0,0,0,Spirit Cloak
0,8,32,247,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,20,20,0,0,0,0,Sage's Cloak
0,8,32,247,0,0,0,0,0,0,0,0,2,50,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Physical Ring
0,8,32,247,0,0,0,0,0,0,0,0,1,100,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Amulet
0,8,32,247,0,0,0,0,0,0,0,16,0,50,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Wargod's Sash
0,8,32,247,0,0,0,0,0,0,0,0,16,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Spirit Ring
0,8,32,247,0,0,0,0,0,0,0,0,64,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Therapy Ring
0,8,32,247,0,0,0,0,0,0,0,0,32,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Mage Ring
0,8,32,247,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,20,20,0,0,0,0,0,0,Wargod's Amulet
128,8,32,247,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Talisman
0,8,32,247,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,8,32,247,0,0,0,0,0,0,0,0,8,40,23,0,0,0,0,0,0,0,0,0,40,0,0,0,Holy Ankh
0,8,32,7,0,0,0,0,0,0,0,0,0,0,23,20,0,0,0,0,0,0,0,0,0,0,0,0,Dancer's Ring
0,8,32,247,0,0,0,0,255,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,8,32,240,0,0,0,0,0,0,0,0,0,0,23,20,0,0,0,0,0,0,0,0,0,0,0,0,Bandit's Ring
0,8,32,247,0,0,128,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Red-Eye Stone
0,8,32,247,0,0,64,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Jade Stone
0,8,32,247,0,0,32,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Silver Stone
0,8,32,247,0,0,4,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Darkness Stone
0,8,32,247,0,0,1,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue Sea Stone
0,8,32,247,0,0,16,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Violet Stone
0,8,32,247,0,0,2,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Golden Stone
0,8,32,247,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,8,32,247,0,0,0,0,0,0,0,2,0,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruby Ring
0,8,32,247,0,0,0,0,0,0,0,1,0,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Sapphire Pin
0,8,32,247,0,0,0,0,255,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Rainbow Earring
0,8,32,247,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,8,32,247,0,0,0,0,0,0,0,8,0,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Emerald Earring
0,8,32,247,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,8,32,247,0,0,0,0,0,0,0,4,0,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Platinum Collar
0,8,32,247,0,0,0,0,0,0,0,32,4,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Phantom Shield
0,8,32,247,0,0,0,0,0,0,0,32,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Dragon Shield
0,8,32,247,0,0,0,0,0,0,0,0,4,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Angel Scarf
0,8,32,247,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Bracelet
0,8,32,247,0,0,0,0,0,0,0,0,0,0,23,0,5,0,0,0,0,0,0,0,0,0,0,0,Fake Power Wrist
0,8,32,247,0,0,0,0,0,0,0,0,0,0,23,0,0,0,5,0,0,0,0,0,0,0,0,0,Fake Shield
0,8,32,247,0,0,0,0,128,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,8,32,245,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Wargod Calling
0,8,32,245,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Ultimate Wargod
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,0,0,0,0,0,20,0,0,0,43,0,0,0,104,0,0,0,203,0,0,0,95,1,0,0, 
