EXP To Next Level,Name
60783,Lavitz Lv 36
65846,Lavitz Lv 37
71182,Lavitz Lv 38
76800,Lavitz Lv 39
82705,Lavitz Lv 40
88905,Lavitz Lv 41
95408,Lavitz Lv 42
102220,Lavitz Lv 43
109350,Lavitz Lv 44
116803,Lavitz Lv 45
124587,Lavitz Lv 46
132710,Lavitz Lv 47
141178,Lavitz Lv 48
150000,Lavitz Lv 49
161476,Lavitz Lv 50
173412,Lavitz Lv 51
185815,Lavitz Lv 52
198696,Lavitz Lv 53
212062,Lavitz Lv 54
225924,Lavitz Lv 55
240289,Lavitz Lv 56
255168,Lavitz Lv 57
270568,Lavitz Lv 58
286500,Lavitz Lv 59
0,Lavitz Lv 60
0,Shana Lv 0
17,Shana Lv 1
36,Shana Lv 2
87,Shana Lv 3
170,Shana Lv 4
180,Shana Lv 5
466,Shana Lv 6
696,Shana Lv 7
863,Shana Lv 8
1184,Shana Lv 9
1575,Shana Lv 10
2045,Shana Lv 11
2601,Shana Lv 12
3248,Shana Lv 13
3996,Shana Lv 14
4849,Shana Lv 15
5816,Shana Lv 16
6905,Shana Lv 17
8121,Shana Lv 18
9472,Shana Lv 19
10965,Shana Lv 20
12607,Shana Lv 21
14405,Shana Lv 22
16367,Shana Lv 23
18500,Shana Lv 24
20809,Shana Lv 25
23304,Shana Lv 26
25991,Shana Lv 27
28876,Shana Lv 28
31968,Shana Lv 29
35272,Shana Lv 30
38797,Shana Lv 31
42549,Shana Lv 32
46535,Shana Lv 33
50764,Shana Lv 34
55240,Shana Lv 35
59973,Shana Lv 36
64968,Shana Lv 37
70233,Shana Lv 38
75776,Shana Lv 39
81602,Shana Lv 40
87720,Shana Lv 41
94136,Shana Lv 42
100857,Shana Lv 43
107892,Shana Lv 44
115245,Shana Lv 45
122926,Shana Lv 46
130940,Shana Lv 47
139296,Shana Lv 48
148000,Shana Lv 49
159323,Shana Lv 50
171099,Shana Lv 51
183337,Shana Lv 52
196046,Shana Lv 53
209235,Shana Lv 54
222911,Shana Lv 55
237085,Shana Lv 56
251765,Shana Lv 57
266960,Shana Lv 58
282680,Shana Lv 59
0,Shana Lv 60
0,Rose Lv 0
15,Rose Lv 1
33,Rose Lv 2
78,Rose Lv 3
154,Rose Lv 4
266,Rose Lv 5
422,Rose Lv 6
630,Rose Lv 7
898,Rose Lv 8
1232,Rose Lv 9
1639,Rose Lv 10
2128,Rose Lv 11
2706,Rose Lv 12
3380,Rose Lv 13
4158,Rose Lv 14
5046,Rose Lv 15
6052,Rose Lv 16
7185,Rose Lv 17
8450,Rose Lv 18
9856,Rose Lv 19
11409,Rose Lv 20
13118,Rose Lv 21
14989,Rose Lv 22
17031,Rose Lv 23
19250,Rose Lv 24
21653,Rose Lv 25
24249,Rose Lv 26
27044,Rose Lv 27
30047,Rose Lv 28
33264,Rose Lv 29
36702,Rose Lv 30
40370,Rose Lv 31
44274,Rose Lv 32
48422,Rose Lv 33
52822,Rose Lv 34
57480,Rose Lv 35
62404,Rose Lv 36
67602,Rose Lv 37
73081,Rose Lv 38
78848,Rose Lv 39
84910,Rose Lv 40
91276,Rose Lv 41
97952,Rose Lv 42
104946,Rose Lv 43
112266,Rose Lv 44
119917,Rose Lv 45
127909,Rose Lv 46
136249,Rose Lv 47
144943,Rose Lv 48
154000,Rose Lv 49
165782,Rose Lv 50
178036,Rose Lv 51
190770,Rose Lv 52
203994,Rose Lv 53
217717,Rose Lv 54
231948,Rose Lv 55
246697,Rose Lv 56
261972,Rose Lv 57
277783,Rose Lv 58
294140,Rose Lv 59
0,Rose Lv 60
0,Haschel Lv 0
15,Haschel Lv 1
32,Haschel Lv 2
77,Haschel Lv 3
152,Haschel Lv 4
262,Haschel Lv 5
417,Haschel Lv 6
622,Haschel Lv 7
886,Haschel Lv 8
1216,Haschel Lv 9
1618,Haschel Lv 10
2101,Haschel Lv 11
2671,Haschel Lv 12
3336,Haschel Lv 13
4104,Haschel Lv 14
4980,Haschel Lv 15
5974,Haschel Lv 16
7091,Haschel Lv 17
8340,Haschel Lv 18
9728,Haschel Lv 19
11261,Haschel Lv 20
12947,Haschel Lv 21
14795,Haschel Lv 22
16809,Haschel Lv 23
19000,Haschel Lv 24
21372,Haschel Lv 25
23934,Haschel Lv 26
26693,Haschel Lv 27
29657,Haschel Lv 28
32832,Haschel Lv 29
36225,Haschel Lv 30
39845,Haschel Lv 31
43699,Haschel Lv 32
47793,Haschel Lv 33
52136,Haschel Lv 34
56733,Haschel Lv 35
61594,Haschel Lv 36
66724,Haschel Lv 37
72131,Haschel Lv 38
77824,Haschel Lv 39
83807,Haschel Lv 40
90091,Haschel Lv 41
96680,Haschel Lv 42
103583,Haschel Lv 43
110808,Haschel Lv 44
118360,Haschel Lv 45
126248,Haschel Lv 46
134479,Haschel Lv 47
143061,Haschel Lv 48
152000,Haschel Lv 49
163629,Haschel Lv 50
175724,Haschel Lv 51
188293,Haschel Lv 52
201345,Haschel Lv 53
214890,Haschel Lv 54
228936,Haschel Lv 55
243493,Haschel Lv 56
258570,Haschel Lv 57
274176,Haschel Lv 58
290320,Haschel Lv 59
0,Haschel Lv 60
0,Albert Lv 0
18,Albert Lv 1
38,Albert Lv 2
92,Albert Lv 3
180,Albert Lv 4
200,Albert Lv 5
493,Albert Lv 6
737,Albert Lv 7
1050,Albert Lv 8
1200,Albert Lv 9
1597,Albert Lv 10
2073,Albert Lv 11
2636,Albert Lv 12
3292,Albert Lv 13
4050,Albert Lv 14
4915,Albert Lv 15
5895,Albert Lv 16
6998,Albert Lv 17
8230,Albert Lv 18
9600,Albert Lv 19
11113,Albert Lv 20
12777,Albert Lv 21
14600,Albert Lv 22
16588,Albert Lv 23
18750,Albert Lv 24
21091,Albert Lv 25
23619,Albert Lv 26
26342,Albert Lv 27
29266,Albert Lv 28
32400,Albert Lv 29
35749,Albert Lv 30
39321,Albert Lv 31
43124,Albert Lv 32
47164,Albert Lv 33
51450,Albert Lv 34
55987,Albert Lv 35
60783,Albert Lv 36
65846,Albert Lv 37
71182,Albert Lv 38
76800,Albert Lv 39
82705,Albert Lv 40
88905,Albert Lv 41
95408,Albert Lv 42
102220,Albert Lv 43
109350,Albert Lv 44
116803,Albert Lv 45
124587,Albert Lv 46
132710,Albert Lv 47
141178,Albert Lv 48
150000,Albert Lv 49
161476,Albert Lv 50
173412,Albert Lv 51
185815,Albert Lv 52
198696,Albert Lv 53
212062,Albert Lv 54
225924,Albert Lv 55
240289,Albert Lv 56
255168,Albert Lv 57
270568,Albert Lv 58
286500,Albert Lv 59
0,Albert Lv 60
0,Meru Lv 0
14,Meru Lv 1
32,Meru Lv 2
76,Meru Lv 3
149,Meru Lv 4
257,Meru Lv 5
408,Meru Lv 6
610,Meru Lv 7
868,Meru Lv 8
1192,Meru Lv 9
1586,Meru Lv 10
2059,Meru Lv 11
2618,Meru Lv 12
3270,Meru Lv 13
4023,Meru Lv 14
4882,Meru Lv 15
5856,Meru Lv 16
6951,Meru Lv 17
8175,Meru Lv 18
9536,Meru Lv 19
11039,Meru Lv 20
12692,Meru Lv 21
14503,Meru Lv 22
16478,Meru Lv 23
18625,Meru Lv 24
20950,Meru Lv 25
23462,Meru Lv 26
26166,Meru Lv 27
29071,Meru Lv 28
32184,Meru Lv 29
35510,Meru Lv 30
39059,Meru Lv 31
42836,Meru Lv 32
46850,Meru Lv 33
51107,Meru Lv 34
55613,Meru Lv 35
60378,Meru Lv 36
65407,Meru Lv 37
70708,Meru Lv 38
76288,Meru Lv 39
82153,Meru Lv 40
88312,Meru Lv 41
94772,Meru Lv 42
101539,Meru Lv 43
108621,Meru Lv 44
116024,Meru Lv 45
123757,Meru Lv 46
131825,Meru Lv 47
140237,Meru Lv 48
149000,Meru Lv 49
160399,Meru Lv 50
172255,Meru Lv 51
184576,Meru Lv 52
197371,Meru Lv 53
210648,Meru Lv 54
224417,Meru Lv 55
238687,Meru Lv 56
253466,Meru Lv 57
268764,Meru Lv 58
284590,Meru Lv 59
0,Meru Lv 60
0,Kongol Lv0
15,Kongol Lv1
33,Kongol Lv2
78,Kongol Lv3
153,Kongol Lv4
264,Kongol Lv5
419,Kongol Lv6
626,Kongol Lv7
892,Kongol Lv8
1224,Kongol Lv9
1629,Kongol Lv10
2115,Kongol Lv11
2689,Kongol Lv12
3358,Kongol Lv13
4131,Kongol Lv14
5013,Kongol Lv15
6013,Kongol Lv16
7138,Kongol Lv17
8395,Kongol Lv18
9792,Kongol Lv19
11335,Kongol Lv20
13033,Kongol Lv21
14892,Kongol Lv22
16920,Kongol Lv23
19125,Kongol Lv24
21513,Kongol Lv25
24091,Kongol Lv26
26869,Kongol Lv27
29852,Kongol Lv28
33048,Kongol Lv29
36464,Kongol Lv30
40108,Kongol Lv31
43986,Kongol Lv32
48108,Kongol Lv33
52479,Kongol Lv34
57106,Kongol Lv35
61999,Kongol Lv36
67163,Kongol Lv37
72606,Kongol Lv38
78336,Kongol Lv39
84359,Kongol Lv40
90683,Kongol Lv41
97316,Kongol Lv42
104265,Kongol Lv43
111537,Kongol Lv44
119139,Kongol Lv45
127079,Kongol Lv46
135364,Kongol Lv47
144002,Kongol Lv48
153000,Kongol Lv49
164706,Kongol Lv50
176880,Kongol Lv51
189531,Kongol Lv52
202669,Kongol Lv53
216303,Kongol Lv54
230442,Kongol Lv55
245095,Kongol Lv56
260271,Kongol Lv57
275979,Kongol Lv58
292230,Kongol Lv59
0,Kongol Lv60
0,??? Lv 0
17,??? Lv 1
36,??? Lv 2
87,??? Lv 3
170,??? Lv 4
180,??? Lv 5
466,??? Lv 6
696,??? Lv 7
863,??? Lv 8
1184,??? Lv 9
1575,??? Lv 10
2045,??? Lv 11
2601,??? Lv 12
3248,??? Lv 13
3996,??? Lv 14
4849,??? Lv 15
5816,??? Lv 16
6905,??? Lv 17
8121,??? Lv 18
9472,??? Lv 19
10965,??? Lv 20
12607,??? Lv 21
14405,??? Lv 22
16367,??? Lv 23
18500,??? Lv 24
20809,??? Lv 25
23304,??? Lv 26
25991,??? Lv 27
28876,??? Lv 28
31968,??? Lv 29
35272,??? Lv 30
38797,??? Lv 31
42549,??? Lv 32
46535,??? Lv 33
50764,??? Lv 34
55240,??? Lv 35
59973,??? Lv 36
64968,??? Lv 37
70233,??? Lv 38
75776,??? Lv 39
81602,??? Lv 40
87720,??? Lv 41
94136,??? Lv 42
100857,??? Lv 43
107892,??? Lv 44
115245,??? Lv 45
122926,??? Lv 46
130940,??? Lv 47
139296,??? Lv 48
148000,??? Lv 49
159323,??? Lv 50
171099,??? Lv 51
183337,??? Lv 52
196046,??? Lv 53
209235,??? Lv 54
222911,??? Lv 55
237085,??? Lv 56
251765,??? Lv 57
266960,??? Lv 58
282680,??? Lv 59
0,??? Lv 60
