EXP,Gold,Drop Rate,Item,Name
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,N/A
0,0,0,dragoon_modifier:broad_sword,Crash
0,0,0,dragoon_modifier:broad_sword,Crash
0,0,0,dragoon_modifier:broad_sword,Crash
0,0,0,dragoon_modifier:broad_sword,Crash
0,0,0,dragoon_modifier:broad_sword,Crash
0,0,0,dragoon_modifier:broad_sword,Crash
0,0,0,dragoon_modifier:broad_sword,Crash
0,0,0,dragoon_modifier:broad_sword,Crash
0,0,0,dragoon_modifier:broad_sword,Crash
0,0,0,dragoon_modifier:broad_sword,Crash
0,0,0,dragoon_modifier:broad_sword,Crash
0,0,0,dragoon_modifier:broad_sword,Crash
0,0,0,dragoon_modifier:broad_sword,Crash
0,0,0,dragoon_modifier:broad_sword,Crash
0,0,0,dragoon_modifier:broad_sword,Crash
0,0,0,Nothing,Merchant
0,0,0,Nothing,Master Tasman
0,0,0,Nothing,Rose
20,20,100,dragoon_modifier:burn_out,Commander
2,3,100,dragoon_modifier:healing_potion,Knight of Sandora
200,50,100,dragoon_modifier:healing_breeze,Sandora Elite
0,0,100,dragoon_modifier:healing_potion,Hellena Warden
0,0,100,dragoon_modifier:healing_potion,Senior Warden
300,50,100,dragoon_modifier:knight_shield,Fruegel
2000,200,100,dragoon_modifier:gravity_grabber,Fruegel
0,0,0,Nothing,Rodriguez
0,0,0,Nothing,Guftas
300,50,100,dragoon_modifier:power_wrist,Kongol
2000,200,30,dragoon_modifier:wargod_calling,Kongol
3000,200,0,Nothing,Emperor Doel
0,0,0,Nothing,Dragoon Doel
0,0,0,Nothing,Lloyd
12000,300,0,Nothing,Lloyd
0,0,0,Nothing,Missing
0,0,0,Nothing,Missing
0,0,0,Nothing,Sandora Elite
0,0,8,dragoon_modifier:pellet,Crafty Thief
0,0,100,dragoon_modifier:down_burst,Feyrbrand
0,0,0,Nothing,???
0,0,0,Nothing,Dummy Lloyd
0,0,0,Nothing,Crash
7000,250,100,dragoon_modifier:frozen_jet,Regole
0,0,0,Nothing,Tentacle
0,0,0,Nothing,Crash
0,0,0,Nothing,Crash
10000,300,20,dragoon_modifier:dragon_shield,Divine Dragon
0,0,100,dragoon_modifier:gravity_grabber,Divine Cannon
0,0,100,dragoon_modifier:flash_hall,Divine Ball
0,0,0,Nothing,Crash
1200,100,30,dragoon_modifier:plate_mail,Greham
0,0,100,dragoon_modifier:silver_stone,Shirley
0,0,0,Nothing,Shana
0,0,0,Nothing,Albert
0,0,0,Nothing,Crash
0,0,0,Nothing,Crash
6000,200,0,Nothing,Lenus
0,0,50,dragoon_modifier:jeweled_crown,Lenus
6000,300,100,dragoon_modifier:blue_sea_stone,Damia
6000,300,100,dragoon_modifier:jade_stone,Syuveil
6000,300,100,dragoon_modifier:golden_stone,Belzac
6000,300,100,dragoon_modifier:violet_stone,Kanzas
2000,150,100,dragoon_modifier:total_vanishing,Mappi
0,0,25,dragoon_modifier:diamond_claw,Mappi
5000,200,25,dragoon_modifier:soul_headband,Gehrich
0,0,0,Nothing,Gorgaga
0,0,0,Nothing,Serfius
0,0,0,Nothing,Danton
0,0,0,Nothing,Atlow
0,0,0,Nothing,Freeze
0,0,0,Nothing,Crash
600,100,100,dragoon_modifier:healing_potion,Virage(head)
0,0,100,dragoon_modifier:healing_potion,Virage(body)
0,0,100,dragoon_modifier:mind_purifier,Virage(arm)
4500,200,100,dragoon_modifier:moon_serenade,Virage(head)
0,0,0,Nothing,Virage(arm)
0,0,0,Nothing,Virage(body)
0,0,0,Nothing,Freeze
0,0,0,Nothing,Freeze
4000,200,100,dragoon_modifier:healing_rain,S Virage(head)
0,0,0,Nothing,S Virage(body)
0,0,0,Nothing,S Virage(arm)
0,0,0,Nothing,Crash
15000,300,0,Nothing,S Virage(head)
0,0,0,Nothing,S Virage(arm)
0,0,0,Nothing,S Virage(body)
0,0,0,Nothing,Freeze
0,0,0,Nothing,Freeze
1500,100,30,dragoon_modifier:bandits_ring,Drake the Bandit
0,0,0,Nothing,Wire
0,0,0,Nothing,Bursting Ball
0,0,0,Nothing,Freeze
2000,100,100,dragoon_modifier:sachet,Jiango
0,0,0,Nothing,???
0,0,0,Nothing,???
400,50,100,dragoon_modifier:wargods_amulet,Urobolus
800,100,100,dragoon_modifier:red-eye_stone,Fire Bird
0,0,0,Nothing,Volcano Ball
9000,300,100,dragoon_modifier:spectral_flash,Grand Jewel
0,0,0,Nothing,Virage(head)
0,0,0,Nothing,Virage(body)
0,0,0,Nothing,Virage(arm)
0,0,0,Nothing,Kamuy's tree
6000,200,100,dragoon_modifier:night_raid,Ghost Commander
0,0,0,Nothing,Ghost Knight
0,0,0,Nothing,Mazo
8000,0,100,dragoon_modifier:darkness_stone,Kamuy
20000,10000,100,dragoon_modifier:phantom_shield,Faust
0,0,0,Nothing,Faust
11000,250,100,dragoon_modifier:brass_knuckle,Windigo
0,0,0,Nothing,Snow Cannon
0,0,0,Nothing,Heart
6000,200,0,Nothing,Polter Helm
0,0,100,dragoon_modifier:smoke_ball,Polter Armor
0,0,100,dragoon_modifier:soul_eater,Polter Sword
8000,400,100,dragoon_modifier:flash_hall,Divine Dragoon Ghost
6000,300,100,dragoon_modifier:frozen_jet,Ghost Regole
4000,200,100,dragoon_modifier:down_burst,GhostFB
0,0,0,Nothing,Missing (Melbu Texture)
0,0,0,Nothing,Missing (Tentacle Texture)
0,0,0,Nothing,Lloyd & Melbu (Crash)
0,0,0,Nothing,Freeze
0,0,0,Nothing,Freeze
12000,300,0,Nothing,Vector
0,0,0,Nothing,Selebus
0,0,0,Nothing,Kubila
0,0,100,dragoon_modifier:healing_rain,Zackwell
12000,300,50,dragoon_modifier:halberd,Lavitzs Spirit
12000,300,100,dragoon_modifier:pretty_hammer,Last Kraken
0,0,0,Nothing,Cleone
0,0,0,Nothing,Auto Complete
13000,300,100,dragoon_modifier:healing_rain,Caterpillar
0,0,100,dragoon_modifier:moon_serenade,Pupa
0,0,100,dragoon_modifier:sun_rhapsody,Imago
6000,0,0,Nothing,Death Rose
0,0,0,Nothing,Auto Complete
6000,0,0,Nothing,Claire
0,0,0,Nothing,Claire
6000,0,100,dragoon_modifier:indoras_axe,Indora
0,0,0,Nothing,Shadow Blade
0,0,0,Nothing,Light Sword
12000,0,0,Nothing,Michael
0,0,0,Nothing,Michael (arm)
0,0,0,Nothing,Michael (core)
6000,0,0,Nothing,Dark Doel
6000,0,0,Nothing,Archangel
0,0,0,Nothing,Dragon Spirit
0,0,0,Nothing,Dragon Spirit
0,0,0,Nothing,Dragon Spirit
0,0,0,Nothing,Missing Shana
20000,400,0,Nothing,Zieg Feld
0,0,0,Nothing,Melbu Frahma (1st)
0,0,0,Nothing,Tentacle
0,0,0,Nothing,Melbu Frahma (2nd)
0,0,0,Nothing,Melbu Frahma (3rd)
0,0,0,Nothing,Melbu Frahma (Bomb Star)
0,0,0,Nothing,Melbu Frahma (4th)
0,0,0,Nothing,Monster
0,0,0,Nothing,Tentacle
0,0,0,Nothing,Bomb Star (Melbu Frahma 1st)
0,0,0,Nothing,Monster
0,0,0,Nothing,Tentacle
0,0,0,Nothing,Crash
