Slot1,Slot2,Slot3,Slot4,Slot5,Slot6,Slot7,Slot8,Slot9,Slot10,Slot11,Slot12,Slot13,Slot14,Slot15,Slot16,Slot17,Slot18,Slot19,Slot20,Slot21,Slot22,Slot23,Slot24,Slot25,Slot26,Slot27,Slot28,Slot29,Slot30,Slot31,Slot32,Name
dragoon_modifier:glaive,dragoon_modifier:beast_fang,dragoon_modifier:warrior_dress,dragoon_modifier:stun_guard,dragoon_modifier:magic_ego_bell,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:queen_fury_equipment_shop
dragoon_modifier:healing_potion,dragoon_modifier:healing_breeze,dragoon_modifier:sun_rhapsody,dragoon_modifier:angels_prayer,dragoon_modifier:mind_purifier,dragoon_modifier:body_purifier,dragoon_modifier:trans_light,dragoon_modifier:dancing_ray,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:queen_fury_item_shop
dragoon_modifier:falchion,dragoon_modifier:bemusing_arrow,dragoon_modifier:morning_star,dragoon_modifier:plate_mail,dragoon_modifier:sparkle_dress,dragoon_modifier:knight_helm,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:fueno_equipment_shop
dragoon_modifier:healing_potion,dragoon_modifier:healing_breeze,dragoon_modifier:sun_rhapsody,dragoon_modifier:angels_prayer,dragoon_modifier:mind_purifier,dragoon_modifier:charm_potion,dragoon_modifier:burn_out,dragoon_modifier:gushing_magma,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:fueno_item_shop
dragoon_modifier:dancing_dagger,dragoon_modifier:giganto_helm,dragoon_modifier:combat_shoes,dragoon_modifier:destone_amulet,dragoon_modifier:attack_badge,dragoon_modifier:elude_cloak,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:furni_equipment_shop
dragoon_modifier:healing_fog,dragoon_modifier:sun_rhapsody,dragoon_modifier:angels_prayer,dragoon_modifier:depetrifier,dragoon_modifier:thunderbolt,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:furni_item_shop
dragoon_modifier:tomahawk,dragoon_modifier:spear_of_terror,dragoon_modifier:diamond_claw,dragoon_modifier:breast_plate,dragoon_modifier:masters_vest,dragoon_modifier:soul_headband,dragoon_modifier:jeweled_crown,dragoon_modifier:stardust_boots,dragoon_modifier:protector,dragoon_modifier:bravery_amulet,dragoon_modifier:destone_amulet,dragoon_modifier:armor_of_legend,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:deningrad_equipment_shop
dragoon_modifier:healing_fog,dragoon_modifier:healing_breeze,dragoon_modifier:sun_rhapsody,dragoon_modifier:angels_prayer,dragoon_modifier:depetrifier,dragoon_modifier:mind_purifier,dragoon_modifier:body_purifier,dragoon_modifier:spark_net,dragoon_modifier:thunderbolt,dragoon_modifier:charm_potion,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:deningrad_item_shop
dragoon_modifier:war_hammer,dragoon_modifier:magical_ring,dragoon_modifier:spiritual_ring,dragoon_modifier:spirit_cloak,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:wingly_forest_equipment_shop
dragoon_modifier:healing_fog,dragoon_modifier:sun_rhapsody,dragoon_modifier:healing_breeze,dragoon_modifier:angels_prayer,dragoon_modifier:mind_purifier,dragoon_modifier:body_purifier,dragoon_modifier:dark_mist,dragoon_modifier:black_rain,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:wingly_forest_item_shop
dragoon_modifier:partisan,dragoon_modifier:heavy_mace,dragoon_modifier:giganto_armor,dragoon_modifier:energy_girdle,dragoon_modifier:giganto_ring,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:vellweb_equipment_shop
dragoon_modifier:healing_fog,dragoon_modifier:healing_breeze,dragoon_modifier:sun_rhapsody,dragoon_modifier:angels_prayer,dragoon_modifier:mind_purifier,dragoon_modifier:body_purifier,dragoon_modifier:charm_potion,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:vellweb_item_shop
dragoon_modifier:fairy_sword,dragoon_modifier:arrow_of_force,dragoon_modifier:thunder_fist,dragoon_modifier:magical_greaves,dragoon_modifier:magical_ring,dragoon_modifier:spiritual_ring,dragoon_modifier:elude_cloak,dragoon_modifier:spirit_cloak,dragoon_modifier:sages_cloak,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:ulara_equipment_shop
dragoon_modifier:healing_fog,dragoon_modifier:healing_breeze,dragoon_modifier:sun_rhapsody,dragoon_modifier:angels_prayer,dragoon_modifier:charm_potion,dragoon_modifier:panic_bell,dragoon_modifier:stunning_hammer,dragoon_modifier:poison_needle,dragoon_modifier:midnight_terror,dragoon_modifier:attack_ball,dragoon_modifier:recovery_ball,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:ulara_item_shop
dragoon_modifier:attack_badge,dragoon_modifier:guard_badge,dragoon_modifier:giganto_ring,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:rouge_equipment_shop
dragoon_modifier:healing_fog,dragoon_modifier:healing_breeze,dragoon_modifier:sun_rhapsody,dragoon_modifier:angels_prayer,dragoon_modifier:mind_purifier,dragoon_modifier:body_purifier,dragoon_modifier:panic_bell,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:rouge_item_shop
dragoon_modifier:claymore,dragoon_modifier:halberd,dragoon_modifier:basher,dragoon_modifier:destroyer_mace,dragoon_modifier:red_dg_armor,dragoon_modifier:jade_dg_armor,dragoon_modifier:gold_dg_armor,dragoon_modifier:violet_dg_armor,dragoon_modifier:silver_dg_armor,dragoon_modifier:dark_dg_armor,dragoon_modifier:blue_dg_armor,dragoon_modifier:magical_ring,dragoon_modifier:spiritual_ring,dragoon_modifier:attack_badge,dragoon_modifier:guard_badge,dragoon_modifier:giganto_ring,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:moon_equipment_shop
dragoon_modifier:healing_fog,dragoon_modifier:healing_breeze,dragoon_modifier:sun_rhapsody,dragoon_modifier:angels_prayer,dragoon_modifier:depetrifier,dragoon_modifier:mind_purifier,dragoon_modifier:body_purifier,dragoon_modifier:panic_bell,dragoon_modifier:poison_needle,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:moon_item_shop
dragoon_modifier:healing_potion,dragoon_modifier:angels_prayer,dragoon_modifier:spark_net,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:hellena_01_item_shop
dragoon_modifier:mind_crush,dragoon_modifier:battle_axe,dragoon_modifier:flamberge,dragoon_modifier:virulent_arrow,dragoon_modifier:saint_armor,dragoon_modifier:robe,dragoon_modifier:guard_badge,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:kashua_equipment_shop
dragoon_modifier:healing_fog,dragoon_modifier:healing_breeze,dragoon_modifier:sun_rhapsody,dragoon_modifier:angels_prayer,dragoon_modifier:body_purifier,dragoon_modifier:charm_potion,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:kashua_item_shop
dragoon_modifier:ruby_ring,dragoon_modifier:sapphire_pin,dragoon_modifier:emerald_earring,dragoon_modifier:platinum_collar,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:fletz_accessory_shop
dragoon_modifier:healing_potion,dragoon_modifier:body_purifier,dragoon_modifier:burn_out,dragoon_modifier:charm_potion,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:forest_item_shop
dragoon_modifier:fake_power_wrist,dragoon_modifier:fake_shield,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:kazas_fort_equipment_shop
dragoon_modifier:healing_potion,dragoon_modifier:sun_rhapsody,dragoon_modifier:angels_prayer,dragoon_modifier:mind_purifier,dragoon_modifier:body_purifier,dragoon_modifier:dancing_ray,dragoon_modifier:pellet,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:volcano_item_shop
dragoon_modifier:great_axe,dragoon_modifier:gladius,dragoon_modifier:red_dg_armor,dragoon_modifier:jade_dg_armor,dragoon_modifier:dark_dg_armor,dragoon_modifier:blue_dg_armor,dragoon_modifier:panic_guard,dragoon_modifier:bravery_amulet,dragoon_modifier:destone_amulet,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:zenebatos_equipment_shop
dragoon_modifier:healing_fog,dragoon_modifier:sun_rhapsody,dragoon_modifier:healing_breeze,dragoon_modifier:angels_prayer,dragoon_modifier:depetrifier,dragoon_modifier:mind_purifier,dragoon_modifier:body_purifier,dragoon_modifier:charm_potion,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:zenebatos_item_shop
dragoon_modifier:healing_potion,dragoon_modifier:sun_rhapsody,dragoon_modifier:angels_prayer,dragoon_modifier:mind_purifier,dragoon_modifier:midnight_terror,dragoon_modifier:thunderbolt,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:hellena_02_item_shop
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:unknown_shop_01
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,lod:black_castle_item_shop
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,
Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,Nothing,
