EXP,Gold,Drop Rate,Item,Name
0,0,0,Nothing,Crash
0,0,0,Nothing,Crash
7000,1500,100,dragoon_modifier:frozen_jet,Divine Dragon
0,0,100,dragoon_modifier:gravity_grabber,Divine Cannon
0,0,100,dragoon_modifier:flash_hall,Divine Ball
0,0,0,Nothing,Crash
500,200,100,dragoon_modifier:down_burst,Greham
1500,300,100,dragoon_modifier:recovery_ball,Shirley
0,0,100,dragoon_modifier:trans_light,Shana
0,0,100,dragoon_modifier:healing_potion,Albert
0,0,0,Nothing,Crash
0,0,0,Nothing,Crash
3000,500,100,dragoon_modifier:speed_up,Lenus
0,0,100,dragoon_modifier:frozen_jet,Lenus
2000,200,100,dragoon_modifier:blue_sea_stone,Damia
2000,200,100,dragoon_modifier:jade_stone,Syuveil
2000,200,100,dragoon_modifier:golden_stone,Belzac
2000,250,100,dragoon_modifier:violet_stone,Kanzas
400,200,100,dragoon_modifier:healing_potion,Mappi
1000,200,100,dragoon_modifier:healing_potion,Mappi
2000,200,100,dragoon_modifier:gravity_grabber,Gehrich
0,0,0,Nothing,Gorgaga
0,0,0,Nothing,Serfius
0,0,0,Nothing,Danton
0,0,0,Nothing,Atlow
0,0,0,Nothing,Freeze
0,0,0,Nothing,Crash
600,150,100,dragoon_modifier:healing_potion,Virage(head)
0,0,100,dragoon_modifier:healing_potion,Virage(body)
0,0,100,dragoon_modifier:mind_purifier,Virage(arm)
2400,300,100,dragoon_modifier:sun_rhapsody,Virage(head)
0,0,100,dragoon_modifier:healing_potion,Virage(arm)
0,0,100,dragoon_modifier:mind_purifier,Virage(body)
0,0,0,Nothing,Freeze
0,0,0,Nothing,Freeze
6000,600,100,dragoon_modifier:healing_rain,S Virage(head)
0,0,50,dragoon_modifier:healing_rain,S Virage(body)
0,0,50,dragoon_modifier:healing_rain,S Virage(arm)
0,0,0,Nothing,Crash
30000,1500,100,dragoon_modifier:healing_rain,S Virage(head)
0,0,100,dragoon_modifier:healing_rain,S Virage(arm)
0,0,100,dragoon_modifier:moon_serenade,S Virage(body)
0,0,0,Nothing,Freeze
0,0,0,Nothing,Freeze
1200,300,100,dragoon_modifier:total_vanishing,Drake the Bandit
0,0,100,dragoon_modifier:sun_rhapsody,Wire
0,0,100,dragoon_modifier:healing_potion,Bursting Ball
0,0,0,Nothing,Freeze
800,300,100,dragoon_modifier:mind_purifier,Jiango
0,0,0,Nothing,???
0,0,0,Nothing,???
500,200,0,Nothing,Urobolus
800,150,100,dragoon_modifier:red-eye_stone,Fire Bird
0,0,0,Nothing,Volcano Ball
6000,1000,100,dragoon_modifier:spectral_flash,Grand Jewel
0,0,0,Nothing,Virage(head)
0,0,0,Nothing,Virage(body)
0,0,0,Nothing,Virage(arm)
0,0,0,Nothing,Kamuy's tree
6000,600,100,dragoon_modifier:night_raid,Ghost Commander
0,0,0,Nothing,Ghost Knight
0,0,0,Nothing,Mazo
5000,600,100,dragoon_modifier:darkness_stone,Kamuy
10000,10000,100,dragoon_modifier:phantom_shield,Faust
0,0,0,Nothing,Faust
8000,1000,100,dragoon_modifier:burning_wave,Windigo
0,0,100,dragoon_modifier:healing_fog,Snow Cannon
0,0,100,dragoon_modifier:healing_fog,Heart
6000,900,0,Nothing,Polter Helm
0,0,0,Nothing,Polter Armor
0,0,100,dragoon_modifier:demon_stilleto,Polter Sword
10000,100,100,dragoon_modifier:flash_hall,Divine Dragoon Ghost
10000,100,100,dragoon_modifier:frozen_jet,Ghost Regole
10000,100,100,dragoon_modifier:down_burst,GhostFB
0,0,0,Nothing,Missing (Melbu Texture)
0,0,0,Nothing,Missing (Tentacle Texture)
0,0,0,Nothing,Lloyd & Melbu (Crash)
0,0,0,Nothing,Freeze
0,0,0,Nothing,Freeze
6000,400,0,Nothing,Vector
6000,400,0,Nothing,Selebus
6000,400,0,Nothing,Kubila
20000,1200,100,dragoon_modifier:soul_eater,Zackwell
0,0,0,Nothing,Lavitzs Spirit
16000,1000,100,dragoon_modifier:pretty_hammer,Last Kraken
1000,100,0,Nothing,Cleone
0,0,0,Nothing,Auto Complete
7000,500,100,dragoon_modifier:healing_fog,Caterpillar
7000,500,100,dragoon_modifier:healing_potion,Pupa
7000,500,100,dragoon_modifier:healing_rain,Imago
10000,500,0,Nothing,Death Rose
0,0,0,Nothing,Auto Complete
10000,500,0,Nothing,Claire
0,0,0,Nothing,Claire
10000,500,100,dragoon_modifier:indoras_axe,Indora
0,0,0,Nothing,Shadow Blade
0,0,0,Nothing,Light Sword
10000,500,0,Nothing,Michael
0,0,0,Nothing,Michael (arm)
0,0,0,Nothing,Michael (core)
10000,500,0,Nothing,Dark Doel
10000,500,0,Nothing,Archangel
2000,300,0,Nothing,Dragon Spirit
2000,300,0,Nothing,Dragon Spirit
2000,300,0,Nothing,Dragon Spirit
1,1,0,Nothing,Missing Shana
30000,2000,0,Nothing,Zieg Feld
30000,10000,0,Nothing,Melbu Frahma (1st)
0,0,0,Nothing,Tentacle
0,0,0,Nothing,Melbu Frahma (2nd)
0,0,0,Nothing,Melbu Frahma (3rd)
0,0,0,Nothing,Melbu Frahma (Bomb Star)
0,0,0,Nothing,Melbu Frahma (4th)
0,0,0,Nothing,Monster
0,0,0,Nothing,Tentacle
0,0,0,Nothing,Bomb Star (Melbu Frahma 1st)
0,0,0,Nothing,Monster
0,0,0,Nothing,Tentacle
0,0,0,Nothing,Crash
