targetType,flags,specialEffect,damage,multi,accuracy,mp,statusChance,element,statusType,buffType,_0b,index,battleStage,Registry ID,Retail Registry ID
64,0,32,0,0,100,0,100,0,2,0,0,84,,spell84,spell84
64,0,32,0,0,100,0,100,0,4,0,0,85,,spell85,spell85
64,0,32,0,0,100,0,100,0,8,0,0,86,,spell86,spell86
64,0,32,0,0,100,0,100,0,16,0,0,87,,spell87,spell87
64,0,32,0,0,100,0,100,0,32,0,0,88,,spell88,spell88
64,0,32,0,0,100,0,100,0,64,0,0,89,,spell89,spell89
64,0,32,0,0,100,0,100,0,128,0,0,90,,spell90,spell90
64,128,0,0,0,100,0,100,0,0,0,0,91,,spell91,spell91
192,0,32,0,0,100,0,100,0,1,0,0,92,,spell92,spell92
192,0,32,0,0,100,0,100,0,2,0,0,93,,spell93,spell93
192,0,32,0,0,100,0,100,0,4,0,0,94,,spell94,spell94
192,0,32,0,0,100,0,100,0,8,0,0,95,,spell95,spell95
192,0,32,0,0,100,0,100,0,16,0,0,96,,spell96,spell96
192,0,32,0,0,100,0,100,0,32,0,0,97,,spell97,spell97
192,0,32,0,0,100,0,100,0,64,0,0,98,,spell98,spell98
192,0,32,0,0,100,0,100,0,128,0,0,99,,spell99,spell99
192,128,0,0,0,100,0,100,0,0,0,0,100,,spell100,spell100
0,0,16,0,0,100,0,0,0,0,255,0,101,,spell101,spell101
200,0,0,2,0,100,0,0,0,0,0,0,102,,spell102,spell102
200,0,0,2,0,100,0,0,128,0,0,0,103,,spell103,spell103
200,0,0,2,0,100,0,0,16,0,0,0,104,,spell104,spell104
200,0,0,2,0,100,0,0,1,0,0,0,105,,spell105,spell105
200,0,0,2,0,100,0,0,64,0,0,0,106,,spell106,spell106
192,0,0,16,0,100,0,0,4,0,0,0,107,,spell107,spell107
0,0,16,0,0,100,0,0,0,0,192,0,108,,spell108,spell108
0,0,16,0,0,100,0,0,0,0,48,0,109,,spell109,spell109
192,0,0,2,0,100,0,0,0,0,0,0,110,,spell110,spell110
200,0,0,8,0,100,0,0,128,0,0,0,111,,spell111,spell111
200,0,0,8,0,100,0,0,64,0,0,0,112,,spell112,spell112
200,0,0,8,0,100,0,0,1,0,0,0,113,,spell113,spell113
192,0,0,1,0,100,0,0,16,0,0,0,114,,spell114,spell114
64,0,0,2,0,100,0,0,0,0,0,0,115,,spell115,spell115
64,0,0,1,0,100,0,0,0,0,0,0,116,,spell116,spell116
200,0,0,128,0,100,0,0,128,0,0,0,117,,spell117,spell117
200,0,0,64,0,100,0,0,16,0,0,0,118,,spell118,spell118
192,0,0,16,0,100,0,0,32,0,0,0,119,,spell119,spell119
200,0,0,32,0,100,0,0,32,0,0,0,120,,spell120,spell120
200,0,0,8,0,100,0,0,1,0,0,0,121,,spell121,spell121
200,0,0,64,0,100,0,0,1,0,0,0,122,,spell122,spell122
200,0,0,32,0,100,0,0,4,0,0,0,123,,spell123,spell123
200,0,0,16,0,100,0,0,4,0,0,0,124,,spell124,spell124
192,0,0,32,0,100,0,0,1,0,0,0,125,,spell125,spell125
136,4,0,0,100,100,100,0,0,0,0,0,126,,spell126,spell126
0,0,0,0,0,0,0,0,0,0,0,0,127,,spell127,spell127
