Speed,AT,MAT,DF,MDF,HP,Unused Addition Unlock Level,Name
55,30,39,28,26,189,255,Rose Lv9
55,34,43,31,29,210,255,Rose Lv10
55,37,48,34,31,231,255,Rose Lv11
55,38,49,35,34,289,255,Rose Lv12
55,39,50,36,36,347,255,Rose Lv13
55,40,51,37,38,405,255,Rose Lv14
55,41,53,37,40,463,255,Rose Lv15
55,42,54,38,42,521,255,Rose Lv16
55,43,55,39,44,579,255,Rose Lv17
55,44,57,40,46,637,16,Rose Lv18
55,45,58,41,48,695,255,Rose Lv19
55,46,59,42,50,753,255,Rose Lv20
55,47,61,43,53,812,255,Rose Lv21
55,47,62,43,55,890,255,Rose Lv22
55,48,63,44,57,968,255,Rose Lv23
55,49,64,45,59,1047,255,Rose Lv24
55,50,66,46,61,1125,255,Rose Lv25
55,51,67,46,63,1204,255,Rose Lv26
55,52,68,47,65,1282,255,Rose Lv27
55,53,70,48,67,1360,255,Rose Lv28
55,54,71,49,69,1439,17,Rose Lv29
55,55,72,49,71,1517,255,Rose Lv30
55,56,74,50,74,1596,255,Rose Lv31
55,58,76,52,76,1679,255,Rose Lv32
55,60,79,53,79,1762,255,Rose Lv33
55,61,81,55,82,1845,255,Rose Lv34
55,63,84,57,84,1929,255,Rose Lv35
55,65,86,58,87,2012,255,Rose Lv36
55,67,89,60,90,2095,255,Rose Lv37
55,69,91,62,92,2179,255,Rose Lv38
55,71,94,63,95,2262,255,Rose Lv39
55,73,96,65,98,2345,255,Rose Lv40
55,75,99,67,101,2429,255,Rose Lv41
55,76,101,68,103,2610,255,Rose Lv42
55,78,104,70,105,2791,255,Rose Lv43
55,80,106,72,107,2972,255,Rose Lv44
55,82,109,73,110,3154,255,Rose Lv45
55,84,111,75,112,3335,255,Rose Lv46
55,86,114,77,114,3516,255,Rose Lv47
55,88,116,78,117,3698,255,Rose Lv48
55,90,119,80,119,3879,255,Rose Lv49
55,91,121,82,121,4060,255,Rose Lv50
55,93,124,83,124,4242,255,Rose Lv51
55,95,126,85,126,4354,255,Rose Lv52
55,97,129,87,129,4466,255,Rose Lv53
55,100,132,89,132,4578,255,Rose Lv54
55,102,135,90,135,4690,255,Rose Lv55
55,104,138,92,138,4802,255,Rose Lv56
55,106,141,94,141,4914,255,Rose Lv57
55,108,144,96,144,5026,255,Rose Lv58
55,110,147,98,147,5138,255,Rose Lv59
55,112,150,99,150,5250,0,Rose Lv60
0,0,0,0,0,0,29,Haschel Lv0
60,3,2,4,2,27,255,Haschel Lv1
60,6,3,6,3,54,255,Haschel Lv2
60,9,5,8,5,81,255,Haschel Lv3
60,13,6,10,6,108,255,Haschel Lv4
60,16,8,12,7,135,255,Haschel Lv5
60,20,10,15,9,162,255,Haschel Lv6
60,23,11,17,10,189,255,Haschel Lv7
60,27,13,19,11,216,255,Haschel Lv8
60,30,14,21,13,243,255,Haschel Lv9
60,34,16,23,14,270,255,Haschel Lv10
60,37,18,26,15,297,255,Haschel Lv11
60,41,19,28,17,371,255,Haschel Lv12
60,45,21,31,19,446,30,Haschel Lv13
60,48,23,33,21,521,255,Haschel Lv14
60,52,25,36,23,595,255,Haschel Lv15
60,56,27,38,24,670,255,Haschel Lv16
60,60,29,41,26,745,31,Haschel Lv17
60,63,31,43,28,819,255,Haschel Lv18
60,67,33,46,30,894,255,Haschel Lv19
60,71,34,48,32,969,255,Haschel Lv20
60,75,36,51,33,1044,32,Haschel Lv21
60,78,38,53,35,1144,255,Haschel Lv22
60,82,40,56,37,1245,255,Haschel Lv23
60,86,42,58,38,1346,255,Haschel Lv24
60,90,44,61,40,1447,33,Haschel Lv25
60,93,46,63,41,1548,255,Haschel Lv26
60,97,48,66,43,1648,255,Haschel Lv27
60,101,49,68,44,1749,255,Haschel Lv28
60,105,51,71,46,1850,34,Haschel Lv29
60,108,53,73,47,1951,255,Haschel Lv30
60,112,55,76,49,2052,255,Haschel Lv31
60,116,57,78,51,2159,255,Haschel Lv32
60,120,59,81,52,2266,255,Haschel Lv33
60,123,61,83,54,2373,255,Haschel Lv34
60,127,63,86,56,2480,255,Haschel Lv35
60,131,64,88,58,2587,255,Haschel Lv36
60,135,66,91,60,2694,255,Haschel Lv37
60,138,68,93,61,2801,255,Haschel Lv38
60,142,70,96,63,2908,255,Haschel Lv39
60,146,72,98,65,3015,255,Haschel Lv40
60,150,74,101,67,3123,255,Haschel Lv41
60,153,76,103,68,3356,255,Haschel Lv42
60,157,78,105,70,3589,255,Haschel Lv43
60,161,79,108,71,3822,255,Haschel Lv44
60,165,81,110,73,4055,255,Haschel Lv45
60,168,83,113,74,4288,255,Haschel Lv46
60,172,85,115,76,4521,255,Haschel Lv47
60,176,87,118,77,4754,255,Haschel Lv48
60,180,89,120,79,4987,255,Haschel Lv49
60,183,91,123,81,5220,255,Haschel Lv50
60,187,93,125,82,5454,255,Haschel Lv51
60,191,95,128,84,5598,255,Haschel Lv52
60,195,97,131,86,5742,255,Haschel Lv53
60,200,99,133,88,5886,255,Haschel Lv54
60,204,101,136,90,6030,255,Haschel Lv55
60,208,103,139,92,6174,255,Haschel Lv56
60,212,106,141,94,6318,255,Haschel Lv57
60,216,108,144,96,6462,255,Haschel Lv58
60,220,110,147,97,6606,255,Haschel Lv59
60,225,112,150,99,6750,0,Haschel Lv60
0,0,0,0,0,0,8,Albert Lv0
45,3,2,5,2,36,255,Albert Lv1
45,6,2,8,3,72,255,Albert Lv2
45,9,3,11,3,108,255,Albert Lv3
45,13,4,14,4,144,9,Albert Lv4
45,16,4,17,4,180,255,Albert Lv5
45,20,5,19,5,216,10,Albert Lv6
45,23,6,22,5,252,255,Albert Lv7
45,27,6,25,6,288,255,Albert Lv8
45,30,7,28,6,324,255,Albert Lv9
45,34,8,31,7,360,11,Albert Lv10
45,37,9,34,8,396,255,Albert Lv11
45,41,11,37,10,495,12,Albert Lv12
45,45,14,41,13,595,255,Albert Lv13
45,48,17,44,15,694,255,Albert Lv14
45,52,20,47,18,794,255,Albert Lv15
45,56,22,51,20,894,255,Albert Lv16
45,60,25,54,23,993,255,Albert Lv17
45,63,28,57,26,1093,255,Albert Lv18
45,67,31,61,28,1192,255,Albert Lv19
45,71,33,64,31,1292,255,Albert Lv20
45,75,36,67,33,1392,255,Albert Lv21
45,78,38,71,35,1526,255,Albert Lv22
45,82,40,74,37,1660,255,Albert Lv23
45,86,42,77,38,1795,255,Albert Lv24
45,90,44,81,40,1929,255,Albert Lv25
45,93,46,84,41,2064,255,Albert Lv26
45,97,48,87,43,2198,255,Albert Lv27
45,101,49,91,44,2332,255,Albert Lv28
45,105,51,94,46,2467,255,Albert Lv29
45,108,53,97,47,2601,255,Albert Lv30
45,112,55,101,49,2736,255,Albert Lv31
45,116,57,104,51,2878,255,Albert Lv32
45,120,59,107,52,3021,255,Albert Lv33
45,123,61,111,54,3164,255,Albert Lv34
45,127,63,114,56,3307,255,Albert Lv35
45,131,64,117,58,3450,255,Albert Lv36
45,135,66,121,60,3592,255,Albert Lv37
45,138,68,124,61,3735,255,Albert Lv38
45,142,70,127,63,3878,255,Albert Lv39
45,146,72,131,65,4021,255,Albert Lv40
45,150,74,134,67,4164,255,Albert Lv41
45,153,76,137,68,4474,255,Albert Lv42
45,157,78,141,70,4785,255,Albert Lv43
45,161,79,144,71,5096,255,Albert Lv44
45,165,81,147,73,5407,255,Albert Lv45
45,168,83,151,74,5718,255,Albert Lv46
45,172,85,154,76,6028,255,Albert Lv47
45,176,87,157,77,6339,255,Albert Lv48
45,180,89,161,79,6650,255,Albert Lv49
45,183,91,164,81,6961,255,Albert Lv50
45,187,93,167,82,7272,255,Albert Lv51
45,191,95,171,84,7464,255,Albert Lv52
45,195,97,174,86,7656,255,Albert Lv53
45,200,99,178,88,7848,255,Albert Lv54
45,204,101,182,90,8040,255,Albert Lv55
45,208,103,185,92,8232,255,Albert Lv56
45,212,106,189,94,8424,255,Albert Lv57
45,216,108,192,96,8616,255,Albert Lv58
45,220,110,196,97,8808,255,Albert Lv59
45,225,112,199,99,9000,0,Albert Lv60
0,0,0,0,0,0,23,Meru Lv0
70,2,3,2,4,18,255,Meru Lv1
70,3,6,3,7,36,255,Meru Lv2
70,5,9,4,10,54,255,Meru Lv3
70,7,12,6,13,72,255,Meru Lv4
70,8,15,7,16,90,255,Meru Lv5
70,10,19,9,20,108,255,Meru Lv6
70,12,22,10,23,126,255,Meru Lv7
70,13,25,11,26,144,255,Meru Lv8
70,15,28,13,29,162,255,Meru Lv9
70,17,31,14,32,180,255,Meru Lv10
70,19,34,16,36,198,255,Meru Lv11
70,20,38,17,39,247,255,Meru Lv12
70,22,42,19,42,297,255,Meru Lv13
70,24,46,21,45,347,255,Meru Lv14
70,26,50,22,48,397,255,Meru Lv15
70,28,54,24,51,447,255,Meru Lv16
70,30,58,26,54,496,255,Meru Lv17
70,32,62,27,57,546,255,Meru Lv18
70,34,66,29,60,596,255,Meru Lv19
70,36,70,31,63,646,24,Meru Lv20
70,38,74,33,66,696,255,Meru Lv21
70,39,77,34,69,763,255,Meru Lv22
70,41,81,36,73,830,255,Meru Lv23
70,43,85,38,76,897,255,Meru Lv24
70,45,88,39,80,964,25,Meru Lv25
70,47,92,41,84,1032,255,Meru Lv26
70,48,96,43,87,1099,255,Meru Lv27
70,50,99,44,91,1166,255,Meru Lv28
70,52,103,46,94,1233,26,Meru Lv29
70,54,107,48,98,1300,255,Meru Lv30
70,56,111,50,102,1368,255,Meru Lv31
70,57,114,51,105,1439,255,Meru Lv32
70,59,118,53,108,1510,27,Meru Lv33
70,61,122,54,111,1582,255,Meru Lv34
70,63,126,56,114,1653,255,Meru Lv35
70,65,130,58,117,1725,255,Meru Lv36
70,67,133,59,120,1796,255,Meru Lv37
70,69,137,61,123,1867,255,Meru Lv38
70,71,141,62,126,1939,255,Meru Lv39
70,73,145,64,129,2010,255,Meru Lv40
70,75,149,66,133,2082,255,Meru Lv41
70,76,152,67,136,2237,255,Meru Lv42
70,78,156,69,140,2392,255,Meru Lv43
70,80,160,71,143,2548,255,Meru Lv44
70,82,163,73,147,2703,255,Meru Lv45
70,84,167,75,150,2859,255,Meru Lv46
70,86,171,77,154,3014,255,Meru Lv47
70,88,174,79,157,3169,255,Meru Lv48
70,90,178,80,161,3325,255,Meru Lv49
70,92,182,82,164,3480,255,Meru Lv50
70,94,186,84,168,3636,255,Meru Lv51
70,96,190,86,171,3732,255,Meru Lv52
70,98,194,88,174,3828,255,Meru Lv53
70,100,199,89,178,3924,255,Meru Lv54
70,102,203,91,181,4020,255,Meru Lv55
70,104,207,93,184,4116,255,Meru Lv56
70,106,212,94,188,4212,255,Meru Lv57
70,108,216,96,191,4308,255,Meru Lv58
70,110,220,98,195,4404,255,Meru Lv59
70,113,225,100,198,4500,255,Meru Lv60
0,0,0,0,0,0,19,Kongol Lv0
30,4,2,4,3,45,255,Kongol Lv1
30,9,3,8,4,89,255,Kongol Lv2
30,14,4,13,5,134,255,Kongol Lv3
30,18,5,17,6,178,255,Kongol Lv4
30,23,6,22,7,223,255,Kongol Lv5
30,28,7,27,8,267,255,Kongol Lv6
30,33,8,31,9,312,255,Kongol Lv7
30,38,9,36,10,356,255,Kongol Lv8
30,43,10,40,11,401,255,Kongol Lv9
30,48,11,45,12,445,255,Kongol Lv10
30,53,12,50,13,490,255,Kongol Lv11
30,57,13,55,14,616,255,Kongol Lv12
30,62,14,60,15,742,255,Kongol Lv13
30,66,15,65,16,868,255,Kongol Lv14
30,71,17,70,18,994,255,Kongol Lv15
30,76,18,76,19,1120,255,Kongol Lv16
30,80,19,81,20,1246,255,Kongol Lv17
30,85,21,86,22,1372,255,Kongol Lv18
30,89,22,91,23,1498,255,Kongol Lv19
30,94,23,96,24,1624,255,Kongol Lv20
30,99,25,102,26,1750,255,Kongol Lv21
30,103,26,107,26,1915,20,Kongol Lv22
30,108,27,112,27,2080,255,Kongol Lv23
30,113,28,117,28,2245,255,Kongol Lv24
30,118,29,122,29,2410,255,Kongol Lv25
30,123,31,128,30,2575,255,Kongol Lv26
30,128,32,133,30,2740,255,Kongol Lv27
30,133,33,138,31,2905,255,Kongol Lv28
30,138,34,143,32,3070,21,Kongol Lv29
30,143,35,148,33,3235,255,Kongol Lv30
30,148,37,154,34,3400,255,Kongol Lv31
30,153,38,158,36,3580,255,Kongol Lv32
30,159,39,162,38,3760,255,Kongol Lv33
30,164,40,166,40,3940,255,Kongol Lv34
30,170,42,170,42,4120,255,Kongol Lv35
30,176,43,174,44,4300,255,Kongol Lv36
30,181,44,178,46,4480,255,Kongol Lv37
30,187,46,182,48,4660,255,Kongol Lv38
30,192,47,186,50,4840,255,Kongol Lv39
30,198,48,190,52,5020,255,Kongol Lv40
30,204,50,195,55,5200,255,Kongol Lv41
30,207,51,199,55,5580,255,Kongol Lv42
30,211,52,204,56,5960,255,Kongol Lv43
30,215,53,208,56,6340,255,Kongol Lv44
30,219,54,213,57,6720,255,Kongol Lv45
30,223,56,217,57,7100,255,Kongol Lv46
30,226,57,222,58,7480,255,Kongol Lv47
30,230,58,226,58,7860,255,Kongol Lv48
30,234,59,231,59,8240,255,Kongol Lv49
30,238,60,235,59,8620,255,Kongol Lv50
30,242,62,240,60,9000,255,Kongol Lv51
30,243,63,241,62,9111,255,Kongol Lv52
30,244,64,243,64,9222,255,Kongol Lv53
30,246,66,245,66,9333,255,Kongol Lv54
30,247,67,246,68,9444,255,Kongol Lv55
30,249,69,248,71,9555,255,Kongol Lv56
30,250,70,250,73,9666,255,Kongol Lv57
30,252,72,251,75,9777,255,Kongol Lv58
30,253,73,253,77,9888,255,Kongol Lv59
30,255,75,255,80,9999,255,Kongol Lv60
0,0,0,0,0,0,255,??? Lv0
65,1,3,1,3,24,255,??? Lv1
65,2,6,2,6,48,255,??? Lv2
65,3,9,4,9,72,255,??? Lv3
65,5,12,5,12,96,255,??? Lv4
65,6,16,7,15,120,255,??? Lv5
65,8,19,9,19,144,255,??? Lv6
65,9,22,10,22,168,255,??? Lv7
65,10,26,12,25,192,255,??? Lv8
65,12,29,13,28,216,255,??? Lv9
65,13,32,15,31,240,255,??? Lv10
65,15,36,17,35,264,255,??? Lv11
65,16,42,18,41,330,255,??? Lv12
65,17,48,20,48,396,255,??? Lv13
65,18,55,22,55,463,255,??? Lv14
65,19,61,23,61,529,255,??? Lv15
65,20,68,25,68,596,255,??? Lv16
65,21,74,27,75,662,255,??? Lv17
65,22,80,28,81,728,255,??? Lv18
65,23,87,30,88,795,255,??? Lv19
65,24,93,32,95,861,255,??? Lv20
65,25,100,34,102,928,255,??? Lv21
65,26,105,35,106,1017,255,??? Lv22
65,27,110,37,111,1107,255,??? Lv23
65,28,115,39,116,1196,255,??? Lv24
65,29,120,40,121,1286,255,??? Lv25
65,30,125,42,126,1376,255,??? Lv26
65,31,130,44,130,1465,255,??? Lv27
65,32,135,45,135,1555,255,??? Lv28
65,33,140,47,140,1644,255,??? Lv29
65,34,145,49,145,1734,255,??? Lv30
65,35,151,51,150,1824,255,??? Lv31
65,36,155,52,155,1919,255,??? Lv32
65,38,160,54,160,2014,255,??? Lv33
65,39,165,55,165,2109,255,??? Lv34
65,41,170,57,170,2204,255,??? Lv35
65,42,175,59,176,2300,255,??? Lv36
65,43,180,60,181,2395,255,??? Lv37
65,45,185,62,186,2490,255,??? Lv38
65,46,190,63,191,2585,255,??? Lv39
65,47,195,65,196,2680,255,??? Lv40
65,49,200,67,202,2776,255,??? Lv41
65,50,204,68,206,2983,255,??? Lv42
65,52,208,70,210,3190,255,??? Lv43
65,53,212,72,214,3397,255,??? Lv44
65,54,216,73,219,3604,255,??? Lv45
65,56,220,75,223,3812,255,??? Lv46
65,57,224,77,227,4019,255,??? Lv47
65,59,228,78,232,4226,255,??? Lv48
65,60,232,80,236,4433,255,??? Lv49
65,61,236,82,240,4640,255,??? Lv50
65,63,240,84,245,4848,255,??? Lv51
65,64,241,85,246,4976,255,??? Lv52
65,65,243,87,247,5104,255,??? Lv53
65,66,245,89,248,5232,255,??? Lv54
65,68,246,91,249,5360,255,??? Lv55
65,69,248,92,250,5488,255,??? Lv56
65,70,250,94,251,5616,255,??? Lv57
65,71,251,96,252,5744,255,??? Lv58
65,72,253,98,253,5872,255,??? Lv59
65,74,255,100,255,6000,255,??? Lv60
