EXP,Gold,Drop Rate,Item,UK1,UK2,Name
1008,37,10,211,0,0,Trap Plant
1008,41,10,235,0,0,Aqua King
960,48,10,206,0,0,Sky Chaser
1296,59,10,228,0,0,Air Combat
1,0,100,233,0,0,Treasure Jar
1280,40,5,225,0,0,Human Hunter
1496,52,10,249,0,0,Mountain Ape
1152,48,10,227,0,0,Roulette Face
864,43,10,242,0,0,Swift Dragon
84,18,15,203,0,0,Hellena Warden
25,10,100,203,0,0,Sandora Soldier
35,8,10,203,0,0,Sandora Soldier
25,7,10,229,0,0,Sandora Soldier
92,21,10,229,0,0,Senior Warden
5,3,0,255,0,0,Hellena Warden
38,50,100,200,0,0,Commander
1000,0,0,255,0,0,Blue Bird
1,1000,0,255,0,0,Red Bird
1,100,0,255,0,0,Yellow Bird
1,0,100,234,0,0,Lucky Jar
0,0,0,255,0,0,??? (Terminator ?)
0,0,0,255,0,0,???
0,0,0,255,0,0,???
0,0,0,255,0,0,Madman
936,36,15,206,0,0,Madman
936,36,15,206,0,0,Madman
36,14,20,205,0,0,Red Hot
36,14,20,205,0,0,Red Hot
19,6,20,206,0,0,Madman
19,6,20,206,0,0,Madman
44,10,20,198,0,0,Fire Spirit
44,10,20,198,0,0,Fire Spirit
1024,45,10,231,0,0,Specter
1024,45,10,231,0,0,Specter
160,22,10,230,0,0,Will-o'-Wisp
160,22,10,230,0,0,Will-o'-Wisp
0,0,0,255,0,0,Will-o'-Wisp (No name)
32,8,10,203,0,0,Magma Fish
32,8,10,203,0,0,Magma Fish
0,0,0,255,0,0,Magma Fish (No name)
48,12,10,229,0,0,Salamander (No name)
48,12,10,229,0,0,Salamander (No name)
0,0,0,255,0,0,Crash
0,0,0,255,0,0,Crash
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,N/A
0,0,0,255,0,0,Crash
0,0,0,255,0,0,Crash
0,0,0,255,0,0,Crash
0,0,0,255,0,0,Crash
0,0,0,255,0,0,Crash
0,0,0,255,0,0,Crash
0,0,0,255,0,0,Crash
0,0,0,255,0,0,Crash
0,0,0,255,0,0,Crash
0,0,0,255,0,0,Crash
0,0,0,255,0,0,Crash
0,0,0,255,0,0,Crash
0,0,0,255,0,0,Crash
0,0,0,255,0,0,Crash
0,0,0,255,0,0,Crash
0,0,0,255,0,0,Merchant
0,0,0,255,0,0,Master Tasman
0,0,0,255,0,0,Rose
20,20,50,195,0,0,Commander
2,10,100,203,0,0,Knight of Sandora
200,100,0,255,0,0,Sandora Elite
0,0,100,203,0,0,Hellena Warden
0,0,100,203,0,0,Auto Complete
300,150,100,112,0,0,Fruegel
1500,300,100,235,0,0,Fruegel
200,100,100,236,0,0,Rodriguez
300,100,100,211,0,0,Guftas
400,150,100,111,0,0,Kongol
2000,300,100,208,0,0,Kongol
3000,400,100,108,0,0,Emperor Doel
0,0,0,255,0,0,Auto Complete
0,0,0,255,0,0,Lloyd
9000,1000,100,45,0,0,Lloyd
0,0,0,255,0,0,Auto Complete
0,0,0,255,0,0,Auto Complete
0,0,100,203,0,0,Auto Complete
162,30,10,230,0,0,Crafty Thief
500,200,100,203,0,0,Feyrbrand
0,0,0,255,0,0,???
0,0,0,255,0,0,Auto Complete
0,0,0,255,0,0,Crash
8000,1000,100,231,0,0,Regole
0,0,0,255,0,0,Tentacle
0,0,0,255,0,0,Crash
0,0,0,255,0,0,Crash
7000,1500,100,243,0,0,Divine Dragon
0,0,100,245,0,0,Divine Cannon
0,0,100,248,0,0,Divine Ball
0,0,0,255,0,0,Crash
500,200,100,244,0,0,Greham
1500,300,100,225,0,0,Shirley
0,0,100,201,0,0,Auto Complete
0,0,100,203,0,0,Auto Complete
0,0,0,255,0,0,Crash
0,0,0,255,0,0,Crash
3000,500,100,237,0,0,Lenus
0,0,100,243,0,0,Lenus
2000,200,100,138,0,0,Damia
2000,200,100,135,0,0,Syuveil
2000,200,100,140,0,0,Belzac
2000,250,100,139,0,0,Kanzas
400,200,100,203,0,0,Mappi
1000,200,100,203,0,0,Mappi
2000,200,100,245,0,0,Gehrich
0,0,0,255,0,0,Gorgaga
0,0,0,255,0,0,Serfius
0,0,0,255,0,0,Danton
0,0,0,255,0,0,Atlow
0,0,0,255,0,0,Freeze
0,0,0,255,0,0,Crash
600,150,100,203,0,0,Virage(head)
0,0,100,203,0,0,Virage(body)
0,0,100,205,0,0,Virage(arm)
2400,300,100,229,0,0,Virage(head)
0,0,100,203,0,0,Virage(arm)
0,0,100,205,0,0,Virage(body)
0,0,0,255,0,0,Freeze
0,0,0,255,0,0,Freeze
6000,600,100,233,0,0,S Virage(head)
0,0,50,233,0,0,S Virage(body)
0,0,50,233,0,0,S Virage(arm)
0,0,0,255,0,0,Crash
30000,1500,100,233,0,0,S Virage(head)
0,0,100,233,0,0,S Virage(arm)
0,0,100,234,0,0,S Virage(body)
0,0,0,255,0,0,Freeze
0,0,0,255,0,0,Freeze
1200,300,100,221,0,0,Drake the Bandit
0,0,100,229,0,0,Auto Complete
0,0,100,203,0,0,Auto Complete
0,0,0,255,0,0,Freeze
800,300,100,205,0,0,Jiango
0,0,0,255,0,0,???
0,0,0,255,0,0,???
500,200,0,255,0,0,Urobolus
800,150,100,134,0,0,Fire Bird
0,0,0,255,0,0,Auto Complete
6000,1000,100,246,0,0,Grand Jewel
0,0,0,255,0,0,Virage(head)
0,0,0,255,0,0,Virage(body)
0,0,0,255,0,0,Virage(arm)
0,0,0,255,0,0,Kamuy's tree
6000,600,100,247,0,0,Ghost Commander
0,0,0,255,0,0,Ghost Knight
0,0,0,255,0,0,Mazo
5000,600,100,137,0,0,Kamuy
10000,10000,100,149,0,0,Faust
0,0,0,255,0,0,Faust
8000,1000,100,242,0,0,Windigo
0,0,100,231,0,0,Auto Complete
0,0,100,231,0,0,Heart
6000,900,0,255,0,0,Polter Helm
0,0,0,255,0,0,Polter Armor
0,0,100,19,0,0,Polter Sword
10000,100,100,248,0,0,Auto Complete
10000,100,100,243,0,0,Auto Complete
10000,100,100,244,0,0,Auto Complete
0,0,0,255,0,0,Missing (Melbu Texture)
0,0,0,255,0,0,Missing (Tentacle Texture)
0,0,0,255,0,0,Lloyd & Melbu (Crash)
0,0,0,255,0,0,Freeze
0,0,0,255,0,0,Freeze
6000,400,0,255,0,0,Vector
6000,400,0,255,0,0,Selebus
6000,400,0,255,0,0,Kubila
20000,1200,100,7,0,0,Auto Complete
0,0,0,255,0,0,Lavitzs Spirit
16000,1000,100,39,0,0,Last Kraken
1000,100,0,255,0,0,Auto Complete
0,0,0,255,0,0,Auto Complete
7000,500,100,231,0,0,Caterpillar
7000,500,100,203,0,0,Auto Complete
7000,500,100,233,0,0,Auto Complete
10000,500,0,255,0,0,Death Rose
0,0,0,255,0,0,Auto Complete
10000,500,0,255,0,0,Claire
0,0,0,255,0,0,Auto Complete
10000,500,100,12,0,0,Indora
0,0,0,255,0,0,Shadow Blade
0,0,0,255,0,0,Light Sword
10000,500,0,255,0,0,Michael
0,0,0,255,0,0,Michael (arm)
0,0,0,255,0,0,Michael (core)
10000,500,0,255,0,0,Dark Doel
10000,500,0,255,0,0,Archangel
2000,300,0,255,0,0,Dragon Spirit
2000,300,0,255,0,0,Dragon Spirit
2000,300,0,255,0,0,Dragon Spirit
1,1,0,255,0,0,Missing Shana
30000,2000,0,255,0,0,Zieg Feld
30000,10000,0,255,0,0,Melbu Frahma (1st)
0,0,0,255,0,0,Tentacle
0,0,0,255,0,0,Melbu Frahma (2nd)
0,0,0,255,0,0,Melbu Frahma (3rd)
0,0,0,255,0,0,Melbu Frahma (Bomb Star)
0,0,0,255,0,0,Melbu Frahma (4th)
0,0,0,255,0,0,Monster
0,0,0,255,0,0,Tentacle
0,0,0,255,0,0,Bomb Star (Melbu Frahma 1st)
0,0,0,255,0,0,Monster
0,0,0,255,0,0,Tentacle
0,0,0,255,0,0,Crash
